Name,Author / Platform,Type
['The Sokal Affair'](https://www.youtube.com/watch?v=ESEFUaEA7kk),Dr Fatima on Youtube,Video
['Importance of stupidity in science'](https://journals.biologists.com/jcs/article/121/11/1771/30038/The-importance-of-stupidity-in-scientific-research), Dr. Fatima on Youtube,Video
*Magnifera Indica:a biography of the mango*,Sopan Joshi,Book
['What's app got to do with it? Premium love in times of emotional capitalism](https://blogs.lse.ac.uk/medialse/2024/08/12/whats-app-got-to-do-with-it-premium-love-in-times-of-emotional-capitalism/), ,Article
Grey Zone: 'How to swear like a linguist' Podcast,Grey Zone Media,Podcast
['Exploring dialogic interactions in grandparent-grandchild conversations over video chat in the United States'](https://www.jstor.org/stable/community.28035108?seq=165), ,Article
*Close to You*, ,Film
['Research assistant wanted: The outsourcing of intellectual labour reveals academia's colonial roots'](https://scroll.in/article/1061526/research-assistant-wanted-the-outsourcing-of-intellectual-labour-reveals-academias-colonial-roots),The Scroll,Article
['Removing journal names from CVs'](https://www.nature.com/articles/d41586-024-02596-y),Nature,Article
*Eric*,Netflix,Film
"[Cindy B Veldhuis's Profile (Northwestern, ISGMH Lab)](https://www.feinberg.northwestern.edu/faculty-profiles/az/profile.html?xid=56819)", ,Writings
*Heartstopper*,Netflix,Film
Book: *Queer Studies*,Kaustav Bakshi and Rohit K. Dasgupta,Book
Nikita Ghodke's tweets: [https://x.com/nikitaghodke04](https://x.com/nikitaghodke04), ,Writings
Anushka Kumar's profile: [https://www.anushkakumar.com/](https://www.anushkakumar.com/), ,Writings
Palomi's website: [https://www.palomikurade.com/](https://www.palomikurade.com/), ,Writings
*The Hottest Dishes of the Tartar Cuisine*, Alina Bronsky,Book
*F1: Drive to Survive*, ,Film
*The Boys*,Amazon Prime,TV Show
['Yoko and the Beetles'](https://www.youtube.com/watch?v=SMOABV_zgrk), Lindsey Ellis on Youtube,Video
['If not NET then what?'](https://thewire.in/education/if-not-net-then-what),The Wire,Article
['The Perils of an Exam-Centric Education System'](https://thewire.in/education/cbse-examinations-education-india),The Wire,Article
['The Absurdity of the National Eligibility Test'](https://thewire.in/192566/absurdity-national-eligibility-test/),The Wire,Article
"[I attempted UGC-NET thrice—Now, I understand why students look abroad for PhD](https://theprint.in/opinion/i-attempted-ugc-net-thrice-now-i-understand-why-students-look-abroad-for-phd/2147662/)",The Print,Article
"[Saurabh Kumar Sharma appointed as faculty in JNU amid speculations of “undemocratic” employment](https://www.newslaundry.com/2019/11/27/saurabh-kumar-sharma-appointed-as-faculty-in-jnu-amid-speculations-of-undemocratic-employment)",Newslaundry,Article
["Pune: Students in rural areas see red over UGC decision on PhD admission"](https://punemirror.com/pune/education/pune-students-in-rural-areas-see-red-over-ugc-decision-on-phd-admission/cid1711697821.htm),The Pune Mirror,Article
*The Two Dogmas of Hindu Philosophy*, ,Book
*Elsbeth*, ,TV Show
[PEW Research:Key findings about religion in India](https://www.pewresearch.org/short-reads/2021/06/29/key-findings-about-religion-in-india/),PEW Research,Article
['NET is far from perfect but its cancellation matters more than you think'](https://timesofindia.indiatimes.com/blogs/voices/net-is-far-from-perfect-but-its-cancellation-matters-more-than-you-think/),Times of India,Article
['Saurabh Kumar Sharma Appointed As Faculty in JNU amid speculations of undemocratic employment'](https://www.newslaundry.com/2019/11/27/saurabh-kumar-sharma-appointed-as-faculty-in-jnu-amid-speculations-of-undemocratic-employment), ,Article
Maheshwar Peri,Youtube,Video
*Inside Out-2*, ,Film
*Baby Reindeer*,Netflix,TV Show
Bridgerton season3 part 2, Netflix,TV Show
['Real Versus Imagined Gender Harassment'](https://spssi.onlinelibrary.wiley.com/doi/full/10.1111/0022-4537.00199?casa_token=6_AfYgYk_dEAAAAA%3AgG_x7OM7B235Q4rngH625MysQ6olsEPtw27P-l3PNlJO_8fRgn7u-Rs8DCTlKg53sVErocl2SICD_g), ,Article
"['Animal homosexual behaviour under-reported by scientists, survey shows'](https://www.theguardian.com/science/article/2024/jun/20/animal-homosexual-behaviour-under-reported-by-scientists-survey-shows)",The Guardian,Article
['Email responsiveness varies based on the pronouns in the requesters' email signature: The role of they/them pronouns'](https://psycnet.apa.org/doiLanding?doi=10.1037%2Fsgd0000737), ,Article
"['Science must right a historical wrong'](https://www.nature.com/articles/d41586-020-02494-z)",Henrietta Lacks, Nature,Article
[*The Gas Man*](https://open.spotify.com/show/6edrtr63RobTNRuLvU2sfj), ,Podcast
['Not all 'open source' AI models are actually open: here's a ranking'](https://www.nature.com/articles/d41586-024-02012-5),Nature,Article
[Ben Lambert on Youtube ](https://www.youtube.com/@SpartacanUsuals),Youtube,Video
['ChatGPT is bullshit'](https://link.springer.com/article/10.1007/s10676-024-09775-5), ,Article
['Romance scammers find a new way to prey on Indian women'](https://newlinesmag.com/reportage/romance-scammers-find-a-new-way-to-prey-on-indian-women/), ,Article
"['LLMs Can't Plan, But Can Help Planning in LLM-Modulo Frameworks'](https://arxiv.org/abs/2402.01817)", ,Article
['Do Scientists Make Good Presidents?''](https://www.scientificamerican.com/article/do-scientists-make-good-presidents), ,Article
*In Bed with the Right* Podcast [https://gender.stanford.edu/inbed](https://gender.stanford.edu/inbed), ,Podcast
*Godzilla vs Kong*, ,Film
"*Friendship With Science*['Episode 2- Arvind Gupta, Shashi Thutupalli', Biswa Kalyan Rath on Youtube](https://www.youtube.com/watch?v=1ZItgy0yKP0)",Youtube,Video
*Gandhi's Talisman*, ,Writings
*Briggeton*,Netflix,TV Show
*Good Omes*,Amazon Prime,TV Show
*H-Pop*,Kunal Purohit,Book
*Sense and Solidarity*, John Dres,Book
*Uncertain Glory*, ,Book
Dr. Divyakriti's talk, ,Video
*Caste Pride*, Manoj Mitta,Book
*Lingthusiasm* ['E88: No such thing as the oldest language'](https://soundcloud.com/lingthusiasm), ,Podcast
['Towards acoustic monitoring of bees: wingbeat sounds are related to species and individual traits'](https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0111), ,Article
['Why doing social science research is difficult in India today'](https://www.nature.com/articles/d41586-024-01214-1), ,Article
['Producing and consuming desi gay porn in India'](https://www.queerbeat.org/stories/producing-and-consuming-desi-gay-porn-in-india), ,Article
"*Stardew Valley*, october update", ,Other
*The Book of Disquiet*,"Fernando Pessoa, trans. Richard Zenith",Book
*Poetry of Namdeo*, Arun Kuladkar,Book
The Work of Vilas Sarang, ,Writings
*Creative Past*, Prachi Deshpande,Book
*Thinking About History*, Sara Maaza,Book
*History and Historiography in Modern India*, ,Book
*Bakurao*, ,Film
*In the House* (French), ,Film
*A Touch of Sin*, ,Film
*Maamla Legal Hai*,Amazon Prime,TV Show
*Evil Genius*, ,Book
['Astrazeneca covid vaccine jab: coronavirus saved lives humanitarian crises)](https://www.theguardian.com/world/article/2024/may/11/astrazeneca-covid-vaccine-jab-coronavirus-saved-lives-humanitarian-crises), ,Article
['Precarity in the Sociology Job Market in India'](https://www.miamisocialsciences.org/home/uhkj5o7vyr0mxy5p43f9l1z6cdmiig), ,Article
['Community Building and Exclusion: The Role of Food in University Hostels in New Delhi' ](https://link.springer.com/article/10.1007/s12115-022-00761-5), ,Article
['The Fabulous and the Fascist'](https://verfassungsblog.de/the-fabulous-and-the-fascist/), ,Article
['Maggie Makar receives NSF CAREER Award to develop machine learning models backed by causal reasoning'](https://cse.engin.umich.edu/stories/maggie-makar-receives-nsf-career-award-to-develop-machine-learning-models-backed-by-causal-reasoning), ,Article
[*Know Your Enemy* Podcast](https://open.spotify.com/episode/0jHnXfTVzITj32CVdESwam), ,Podcast
*The Sociological Mind*, CW Wills,Book
[*The New Books Network*](https://newbooksnetwork.com/), ,Podcast
[*Stories by Rabindranath Tagore*](https://www.imdb.com/title/tt4853764/), ,TV Show
['Your genes may influence how much you enjoy listening to music'](https://www.newscientist.com/article/2427096-your-genes-may-influence-how-much-you-enjoy-listening-to-music/), ,Article
['Distinct genetic pathways to music enjoyment'](https://www.biorxiv.org/content/10.1101/2024.04.04.588094v1), ,Article
"['JNU sits on Dalit scholar's research, no advisor'](https://www.telegraphindia.com/india/dalit-phd-scholar-left-in-lurch-as-jawaharlal-nehru-university-sits-on-thesis/cid/2001649)",Telegraph,Article
['UGC removes draft guidelines on de-reservation of posts after activists condemn move'](https://www.thenewsminute.com/news/ugc-removes-draft-guidelines-on-de-reservation-of-posts-after-activists-condemn-move),The News Minute,Article
['How India can become a science powerhouse' ](https://www.nature.com/articles/d41586-024-01088-3),Nature,Article
['What the India election means for science' ](https://www.nature.com/articles/d41586-024-00956-2),Nature,Article
['Canadian science gets biggest boost to PhD and postdoc pay in 20 years' ](https://www.nature.com/articles/d41586-024-01124-2),Nature,Article
['The TESCREAL bundle: Eugenics and the promise of utopia through artificial general intelligence'](https://firstmonday.org/ojs/index.php/fm/article/view/13636/11606), ,Article
[Envy](https://www.youtube.com/watch%3Fv%3DaPhrTOg1RUk&ved=2ahUKEwi11tmI5YOGAxWiM0QIHRoQCC8QtwJ6BAgVEAI&usg=AOvVaw3cEYzM2pV4dv2hGch0g0lC),Contrapoints on Youtube,Video
['Everest Fish Curry Masala recalled in Singapore for pesticide concerns'](https://www.business-standard.com/amp/india-news/everest-fish-curry-masala-recalled-in-singapore-for-pesticide-concerns-124042000435_1.html),Business Standard,Article
['Nestle's baby food sold in Asian, African countries had added sugars: Why is sugar harmful?'](https://indianexpress.com/article/explained/explained-health/nestle-sugar-baby-food-india-asia-africa-harmful-9278215/),Indian Express,Article
*Anatomy of a Fall*, ,Film
*Feminist Interpretations of Friedrich Nietzsche*, Edited by Kelly Oliver and Marilyn Pearsall,Book
*The Cracked Mirror*,Gopalguru Sarukai,Book
[*Practicing Caste: on touching and not touching*](https://www.fordhampress.com/9780823282265/practicing-caste/), ,Article
[*Age of Entanglement*](https://www.hup.harvard.edu/books/9780674725140), Chris Manjapra,Book
*Eating and Eating With the Dalit*, Aniket Javre,Book
*Amar Singh Chamkila*,Netflix,Film
[Saffronisation of history result of colonial hangover: Assistant Professor of History Dr Ruchika Sharma](https://www.edexlive.com/news/2023/Nov/14/saffronisation-of-history-result-of-colonial-hangover-assistant-professor-history-dr-ruchika-sharma-38768.html), ,Article
[Eyeshadow and Eitihaas](https://eshe.in/2024/03/05/dr-ruchika-sharma-eyeshadow-and-etihaas/), ,Article
['UK Reproducibility network: Winners of the Dorothy Bishop Prize'](https://www.ukrn.org/2024/03/28/winners-of-the-2024-dorothy-bishop-prize/), ,Article
*Maniac*, Netflix,TV Show
['The Wellness Bro' ](https://www.theguardian.com/us-news/2024/mar/28/podcaster-andrew-huberman-goop-for-bros),The Guardian,Article
['Alcohol Use and Mortality Among Older Couples in the United States: Evidence of Individual and Partner Effects'](https://academic.oup.com/gerontologist/article-abstract/64/2/gnad101/7230161), ,Article
['A Strange Thing Happens When You And Your Partner Drink Alcohol Over Time'](https://www.sciencealert.com/a-strange-thing-happens-when-you-and-your-partner-drink-alcohol-over-time), ,Article
Wendy Doniger's books, ,Writings
['Ring of Truth'- scroll review](https://scroll.in/article/843372/the-ring-making-women-adulterous-and-men-faithful-since-the-birth-of-patriarchy),The Scroll,Article
DN Jha's books, ,Writings
['Elephants and Kings: An Environmental History'](https://press.uchicago.edu/ucp/books/book/chicago/E/bo20273102.html), Thomas R. Trautmann,Book
['Emergence of the Delhi Sultanate: AD 1192-1286'](https://www.abebooks.com/9788178243061/Emergence-Delhi-Sultanate-1192-1286-Sunil-8178243067/plp), Sunil Kumar,Book
*Love Lies Bleeding*, ,Film
['India: Authorities Revoke Visa Privileges of Diaspora Critics'](https://www.hrw.org/news/2024/03/17/india-authorities-revoke-visa-privileges-diaspora-critics), ,Article
['Mapping the Indian Manosphere'](https://lifestyle.livemint.com/news/big-story/india-manosphere-mens-rights-influencers-gender-divide-111709889805465.html), ,Article
['The bioethics of skeletal anatomy collections from India'](https://www.nature.com/articles/s41467-024-45738-6),Nature,Article
Generative AI has a language problem'](https://www.nature.com/articles/s41562-023-01716-4),Nature,Article
[simpsons-funny scene-grad students.mp4](https://www.youtube.com/watch?v=qqrCoyVK80I),Youtube,Video
[Babies Made to Order](https://open.spotify.com/episode/1nFC3AMhU7Nc3tpQL3j2NA?si=ce70adb209b8441d&nd=1&dlsi=0a791ae543af4b87), ,Article
"[A Dalit-Queer critique of Lihaf recovers a world of meaning lost in its translation, reminding us that desirability is shaped by caste.](https://www.queerbeat.org/stories/caste-under-the-quilt)", ,Article
[Notable sandwiches 89: hot-dog](https://buttondown.email/theswordandthesandwich/archive/notable-sandwiches-89-hot-dog/), ,Article
['PCSK7: A novel regulator of apolipoprotein B and a potential target against non-alcoholic fatty liver disease' ](https://www.sciencedirect.com/science/article/abs/pii/S0026049523003402), ,Article
[*The Rookie*](https://www.imdb.com/title/tt7587890/), ,Film
[*The Ministry for the Future*](https://subterraneanpress.com/robinson-tmftf/), ,Book
['Has Uttar Pradesh's economy surpassed Tamil Nadu?'](https://frontline.thehindu.com/economy/uttar-pradesh-economy-comparison-with-tamil-nadu-south-india/article67821390.ece),The Hindu,Article
['An absolutely apolitical space: why Jindal University suspended two students this week](https://www.newslaundry.com/2024/02/16/an-absolutely-apolitical-space-why-jindal-university-suspended-two-students-this-week),Newslaundry,Article
"[*The Vulgarity of Caste: Dalits, Sexuality, and Humanity in Modern India*](https://www.sup.org/books/title/?id=34163)", Shailaja Paik,Book
The king of curcumin: a case study in the consequences of large scale research fraud/](https://reeserichardson.blog/2024/01/30/the-king-of-curcumin-a-case-study-in-the-consequences-of-large-scale-research-fraud/), ,Article
*American Fiction*, ,Film
*Irrational Man*, ,Film
"['This Indian watchdog is cleaning up ‘mess’ in academia—falsification, fabrication & fraud'](https://theprint.in/ground-reports/this-indian-watchdog-is-cleaning-up-mess-in-academia-falsification-fabrication-fraud/1933904/)",The Print,Article
[Haldi scandal](https://theprint.in/science/inside-indian-american-biochemists-haldi-swindle-that-proposed-spice-as-cancer-hack/1950784/),The Print,Article
*Fall of civilizations* Podcast, ,Podcast
[Ted Talk- Brene Brown](https://www.ted.com/talks/brene_brown_the_power_of_vulnerability?language=en), Bren Brown,Video
"*Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead*", ,Book
*Beyond the Same Sex Marriage*, Lisa Douggan,Book
*Twilight of inequality*, ,Book
*Bottoms*, ,Film
*Poor Things*, ,Film
['AlphaFold found thousands of possible psychedelics. Will its predictions help drug discovery?'](https://www.nature.com/articles/d41586-024-00130-8),Nature,Article
'Debt, drinking, and decisions',Business Standard,Article
*Leave the world behind*,Netflix,Film
*Fighter*, ,Film
*Origin*, ,Film
*Kathal*,Netflix,Film
[Neri Oxman- allegations of plagiarism](https://www.businessinsider.com/neri-oxman-plagiarize-wikipedia-mit-dissertation-2024-1), ,Article
*Lessons in Chemistry*, ,Book
Podcast- Novarra media, ,Podcast
['Bumble dating survey trends'](https://mashable.com/article/bumble-top-dating-trends-2024),Mashable,Article
*Arranged*,Amazon Prime,TV Show
*Plagiarism and You(tube)*,Hbomberguy on Youtube,Video
['Exclusive Paper Mill articles Buoyed Spanish Deans Research Output' ](https://retractionwatch.com/2024/01/18/exclusive-paper-mill-articles-buoyed-spanish-deans-research-output/),Retraction Watch,Article
*Grasshoppers*,Arundhati Roy,Book
*Complications*,Atul Gawande,Book
[*Foundation*](https://tv.apple.com/us/show/foundation/umc.cmc.5983fipzqbicvrve6jdfep4x3),Apple TV,TV Show
['Reflections before the storm: the AI reproduction of biased imagery in global health visuals'](https://www.thelancet.com/journals/langlo/article/PIIS2214-109X\(23\)00329-7/fulltext) The Lancet,The Lancet,Article
['UMass Initiative for Digital Public Infrastructure: Timnit Gebru Looks at Corporate AI and Sees a Lot of Bad Science'](https://publicinfrastructure.org/podcast/85-timnit-gebru/), ,Article
[*Shape of You* Parody](https://www.youtube.com/watch?v=loMCNh3tqLs), ,Video
*Pale Blue Dot*,Carl Segan,Book
*Identitty*, Mithu Sanyal,Book
*A People's History of Science*, Clifford Conner,Book
*Made in Heaven* Season 2,Amazon Prime,TV Show
*Maus*, Art Spiegelman,Book
*Return of Kings*, ,Book
*On repentance and Repair*, ,Book
['Functional roles for noise in genetic circuits'](https://www.nature.com/articles/nature09326),Nature,Article
*Money Matters*, Vivek Kaul,Book
*Laziness Does Not Exist*, Devon Price,Book
*Wordslut*, ,Book
Shane Warne biography, ,Book
['Woman professor sues Kolkata's St Xavier's University; says forced to quit over Insta pics'](https://www.businesstoday.in/latest/economy/story/woman-professor-sues-kolkatas-st-xaviers-university-says-forced-to-quit-over-insta-pics-344293-2022-08-10),Business Today,Article
"['"We Students Are With You": Xavier's University Students Reach Out to Ex-Prof, Protest on Campus'](https://thewire.in/education/xaviers-students-protest-teacher-forced-resignation)",The Wire,Article
